Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
hepatocyte	Homo sapiens	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
liver	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
kidney	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Rattus norvegicus	acetaminophen
hepatocyte	Homo sapiens	acetazolamide
hepatocyte	Homo sapiens	acetazolamide
hepatocyte	Homo sapiens	acetazolamide
hepatocyte	Homo sapiens	acetazolamide
hepatocyte	Homo sapiens	acetazolamide
hepatocyte	Homo sapiens	acetazolamide
hepatocyte	Homo sapiens	acetazolamide
hepatocyte	Homo sapiens	acetazolamide
hepatocyte	Homo sapiens	acetazolamide
hepatocyte	Homo sapiens	acetazolamide
hepatocyte	Homo sapiens	acetazolamide
hepatocyte	Homo sapiens	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
liver	Rattus norvegicus	acetazolamide
