Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]
hepatocyte	Rattus norvegicus	carbon tetrachloride
hepatocyte	Rattus norvegicus	carbon tetrachloride
hepatocyte	Rattus norvegicus	carbon tetrachloride
hepatocyte	Rattus norvegicus	carbon tetrachloride
hepatocyte	Rattus norvegicus	carbon tetrachloride
hepatocyte	Rattus norvegicus	carbon tetrachloride
hepatocyte	Rattus norvegicus	carbon tetrachloride
hepatocyte	Rattus norvegicus	carbon tetrachloride
hepatocyte	Rattus norvegicus	carbon tetrachloride
hepatocyte	Rattus norvegicus	carbon tetrachloride
hepatocyte	Rattus norvegicus	carbon tetrachloride
hepatocyte	Rattus norvegicus	carbon tetrachloride
hepatocyte	Rattus norvegicus	carbon tetrachloride
hepatocyte	Rattus norvegicus	carbon tetrachloride
hepatocyte	Rattus norvegicus	carbon tetrachloride
hepatocyte	Rattus norvegicus	carbon tetrachloride
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
kidney	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
hepatocyte	Rattus norvegicus	carboplatin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
liver	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
kidney	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Rattus norvegicus	cephalothin
hepatocyte	Homo sapiens	chloramphenicol
hepatocyte	Homo sapiens	chloramphenicol
hepatocyte	Homo sapiens	chloramphenicol
hepatocyte	Homo sapiens	chloramphenicol
hepatocyte	Homo sapiens	chloramphenicol
hepatocyte	Homo sapiens	chloramphenicol
hepatocyte	Homo sapiens	chloramphenicol
hepatocyte	Homo sapiens	chloramphenicol
hepatocyte	Homo sapiens	chloramphenicol
hepatocyte	Homo sapiens	chloramphenicol
hepatocyte	Homo sapiens	chloramphenicol
hepatocyte	Homo sapiens	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
liver	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Rattus norvegicus	chloramphenicol
hepatocyte	Homo sapiens	chlormadinone
hepatocyte	Homo sapiens	chlormadinone
hepatocyte	Homo sapiens	chlormadinone
hepatocyte	Homo sapiens	chlormadinone
hepatocyte	Homo sapiens	chlormadinone
hepatocyte	Homo sapiens	chlormadinone
hepatocyte	Homo sapiens	chlormadinone
hepatocyte	Homo sapiens	chlormadinone
hepatocyte	Homo sapiens	chlormadinone
hepatocyte	Homo sapiens	chlormadinone
hepatocyte	Homo sapiens	chlormadinone
hepatocyte	Homo sapiens	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
liver	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Rattus norvegicus	chlormadinone
hepatocyte	Homo sapiens	chlormezanone
hepatocyte	Homo sapiens	chlormezanone
hepatocyte	Homo sapiens	chlormezanone
hepatocyte	Homo sapiens	chlormezanone
hepatocyte	Homo sapiens	chlormezanone
hepatocyte	Homo sapiens	chlormezanone
hepatocyte	Homo sapiens	chlormezanone
hepatocyte	Homo sapiens	chlormezanone
hepatocyte	Homo sapiens	chlormezanone
hepatocyte	Homo sapiens	chlormezanone
hepatocyte	Homo sapiens	chlormezanone
hepatocyte	Homo sapiens	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
liver	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Rattus norvegicus	chlormezanone
hepatocyte	Homo sapiens	chlorpheniramine
hepatocyte	Homo sapiens	chlorpheniramine
hepatocyte	Homo sapiens	chlorpheniramine
hepatocyte	Homo sapiens	chlorpheniramine
hepatocyte	Homo sapiens	chlorpheniramine
hepatocyte	Homo sapiens	chlorpheniramine
hepatocyte	Homo sapiens	chlorpheniramine
hepatocyte	Homo sapiens	chlorpheniramine
hepatocyte	Homo sapiens	chlorpheniramine
hepatocyte	Homo sapiens	chlorpheniramine
hepatocyte	Homo sapiens	chlorpheniramine
hepatocyte	Homo sapiens	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
liver	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Rattus norvegicus	chlorpheniramine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
hepatocyte	Homo sapiens	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
liver	Rattus norvegicus	chlorpromazine
